Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
01_登录,10,406,116,1312,1312,1402,8,1402,0.000%,1.09938,0.60,0.35
A1_新增地址,10,821,749,1244,1244,1324,377,1324,0.000%,1.17897,0.39,0.60
A2_查询地址列表,10,356,164,548,548,1583,15,1583,0.000%,1.33156,38.93,0.38
事务控制器,100,376,197,998,1277,3007,38,3294,0.000%,12.63584,930.00,29.97
总体,130,411,203,1048,1324,3007,8,3294,0.000%,12.18940,718.35,23.29
