Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
事务控制器,100,53,52,64,67,79,38,98,0.000%,10.42209,1072.33,37.20
总体,100,53,52,64,67,79,38,98,0.000%,10.42209,1072.33,37.20
