Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
01_登录,10,3,3,4,4,6,2,6,0.000%,1.11111,0.61,0.36
A1_新增地址,10,7,7,10,10,10,6,10,0.000%,1.11062,0.37,0.56
A2_查询地址列表,10,8,7,12,12,15,5,15,0.000%,1.11062,46.83,0.32
事务控制器,100,36,36,44,49,56,23,67,0.000%,10.73537,790.13,25.47
总体,130,29,33,43,45,56,2,67,0.000%,13.93355,834.99,26.62
