Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
01_登录,30,3,3,4,6,8,1,8,0.000%,1.03441,0.56,0.33
A1_新增地址,30,8,7,10,13,15,6,15,0.000%,1.03448,0.34,0.53
A2_查询地址列表,30,62,8,11,13,1266,5,1266,0.000%,1.03459,37.86,0.30
事务控制器,300,39,38,50,54,59,24,64,0.000%,10.19472,750.34,24.18
总体,390,35,35,49,54,59,1,1266,0.000%,13.24054,787.79,25.29
