Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
事务控制器,800,130,130,167,179,204,65,460,0.000%,9.92359,3707.59,35.42
总体,800,130,130,167,179,204,65,460,0.000%,9.92359,3707.59,35.42
