Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
事务控制器,500,90,85,121,129,142,53,233,0.000%,10.02084,2527.80,35.76
总体,500,90,85,121,129,142,53,233,0.000%,10.02084,2527.80,35.76
