Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
事务控制器,300,65,64,81,86,100,42,118,0.000%,10.09761,1793.05,36.04
总体,300,65,64,81,86,100,42,118,0.000%,10.09761,1793.05,36.04
