Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
01_登录,10,2,3,3,3,4,2,4,0.000%,1.11086,0.61,0.36
A1_新增地址,10,7,6,9,9,11,5,11,0.000%,1.11049,0.37,0.56
A2_查询地址列表,10,8,7,11,11,12,7,12,0.000%,1.11037,48.88,0.32
事务控制器,100,35,35,42,44,50,24,50,0.000%,10.69633,787.26,25.37
总体,130,28,33,41,43,50,2,50,0.000%,13.88147,833.85,26.52
