Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
01_登录,20,12,3,8,25,158,2,158,0.000%,1.05252,0.57,0.34
A1_新增地址,20,9,8,14,15,16,6,16,0.000%,1.05352,0.35,0.53
A2_查询地址列表,20,64,7,12,17,1141,4,1141,0.000%,1.05335,33.66,0.30
事务控制器,200,43,41,51,61,107,23,123,0.000%,10.35197,761.91,24.56
总体,260,39,39,51,60,109,2,1141,0.000%,13.42906,794.21,25.65
